,Epithelial,Mesenchymal,EMT,Luminal,Basal,TamRes,Glycolysis,OXPHOS,Hypoxia,Ferroptosis,FAO,RPMS,BPMS
Epithelial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.330983183279102e-288,0.0,0.0
Basal,0.0,0.0,0.0,0.0,0.0,0.00030534439591994725,0.0,0.0,0.39654583004375366,0.0,1.2952875008423425e-24,0.0,0.0
TamRes,0.0,0.0,0.0,0.0,0.00030534439591994725,0.0,0.0,0.0,0.0,0.0011893745079549697,0.0,7.549466841041575e-283,0.0
Glycolysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27961634444241124,0.0,0.0,0.0,0.0,0.0
OXPHOS,0.0,0.0,0.0,0.0,0.0,0.0,0.27961634444241124,0.0,0.0,0.0,0.0,3.84260955778546e-50,9.652606754074284e-37
Hypoxia,0.0,0.0,0.0,0.0,0.39654583004375366,0.0,0.0,0.0,0.0,1.3403894965588454e-233,0.0,0.0,0.0
Ferroptosis,0.0,0.0,0.0,0.0,0.0,0.0011893745079549697,0.0,0.0,1.3403894965588454e-233,0.0,0.0,0.0,0.0
FAO,0.0,0.0,0.0,3.330983183279102e-288,1.2952875008423425e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPMS,0.0,0.0,0.0,0.0,0.0,7.549466841041575e-283,0.0,3.84260955778546e-50,0.0,0.0,0.0,0.0,0.0
BPMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.652606754074284e-37,0.0,0.0,0.0,0.0,0.0
