,Epithelial,Mesenchymal,EMT,Luminal,Basal,TamRes,Glycolysis,OXPHOS,Hypoxia,Ferroptosis,FAO,RPMS,BPMS
Epithelial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mesenchymal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luminal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basal,0.0,0.0,0.0,0.0,0.0,1.7064052903795325e-07,0.0,0.0,0.28271878181507626,0.0,1.3419945699222387e-35,0.0,0.0
TamRes,0.0,0.0,0.0,0.0,1.7064052903795325e-07,0.0,0.0,0.0,0.0,4.5451929898162396e-10,0.0,8.452412026622015e-277,0.0
Glycolysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5090833367195294,0.0,0.0,0.0,0.0,0.0
OXPHOS,0.0,0.0,0.0,0.0,0.0,0.0,0.5090833367195294,0.0,0.0,0.0,0.0,8.344515352731572e-43,4.909169785650261e-30
Hypoxia,0.0,0.0,0.0,0.0,0.28271878181507626,0.0,0.0,0.0,0.0,3.4623456313127427e-249,0.0,0.0,0.0
Ferroptosis,0.0,0.0,0.0,0.0,0.0,4.5451929898162396e-10,0.0,0.0,3.4623456313127427e-249,0.0,0.0,0.0,0.0
FAO,0.0,0.0,0.0,0.0,1.3419945699222387e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPMS,0.0,0.0,0.0,0.0,0.0,8.452412026622015e-277,0.0,8.344515352731572e-43,0.0,0.0,0.0,0.0,0.0
BPMS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.909169785650261e-30,0.0,0.0,0.0,0.0,0.0
